Site,StartDate,Treatment,PrescribedTreatment,Folder,LabelledSite
1,2023-08-30,,C,,
2,2023-08-30,,A,,
3,2023-08-30,C,C,3,3
4,2023-08-30,C,C,4,4
5,2023-08-30,,C,5,5
6,2023-08-30,A,A,6,6
7,2023-08-30,C,C,7,7
8,2023-08-30,,C,8,8
9,2023-08-30,W,A,9,9
10,2023-08-30,,W,,
11,2023-08-30,,W,,
12,2023-08-30,,W,,
1,2023-09-04,,W,,
2,2023-09-04,,C,,
3,2023-09-04,,W,,
4,2023-09-04,,A,,
5,2023-09-04,,A,,
6,2023-09-04,,C,,
7,2023-09-04,,A,,
8,2023-09-04,,W,,
9,2023-09-04,,C,,
10,2023-09-04,,C,,
11,2023-09-04,,C,,
12,2023-09-04,,C,,
1,2023-09-09,,C,,
2,2023-09-09,,W,,
3,2023-09-09,,C,,
4,2023-09-09,,C,,
5,2023-09-09,,C,,
6,2023-09-09,,W,,
7,2023-09-09,,C,,
8,2023-09-09,,C,,
9,2023-09-09,,W,,
10,2023-09-09,,A,,
11,2023-09-09,,A,,
12,2023-09-09,,A,,
1,2023-09-14,,A,,
2,2023-09-14,,C,,
3,2023-09-14,,A,,
4,2023-09-14,,W,,
5,2023-09-14,,W,,
6,2023-09-14,,C,,
7,2023-09-14,,W,,
8,2023-09-14,,A,,
9,2023-09-14,,C,,
10,2023-09-14,,C,,
11,2023-09-14,,C,,
12,2023-09-14,,C,,
1,2023-09-19,,C,,
2,2023-09-19,,A,,
3,2023-09-19,,C,,
4,2023-09-19,,C,,
5,2023-09-19,,C,,
6,2023-09-19,,A,,
7,2023-09-19,,C,,
8,2023-09-19,,C,,
9,2023-09-19,,A,,
10,2023-09-19,,W,,
11,2023-09-19,,W,,
12,2023-09-19,,W,,
1,2023-09-24,,W,,
2,2023-09-24,,C,,
3,2023-09-24,,W,,
4,2023-09-24,,A,,
5,2023-09-24,,A,,
6,2023-09-24,,C,,
7,2023-09-24,,A,,
8,2023-09-24,,W,,
9,2023-09-24,,C,,
10,2023-09-24,,C,,
11,2023-09-24,,C,,
12,2023-09-24,,C,,
1,2023-09-29,,C,,
2,2023-09-29,,W,,
3,2023-09-29,,C,,
4,2023-09-29,,C,,
5,2023-09-29,,C,,
6,2023-09-29,,W,,
7,2023-09-29,,C,,
8,2023-09-29,,C,,
9,2023-09-29,,W,,
10,2023-09-29,,A,,
11,2023-09-29,,A,,
12,2023-09-29,,A,,
1,2023-10-04,,A,,
2,2023-10-04,,C,,
3,2023-10-04,,A,,
4,2023-10-04,,W,,
5,2023-10-04,,W,,
6,2023-10-04,,C,,
7,2023-10-04,,W,,
8,2023-10-04,,A,,
9,2023-10-04,,C,,
10,2023-10-04,,C,,
11,2023-10-04,,C,,
12,2023-10-04,,C,,
1,2023-10-09,,C,,
2,2023-10-09,,A,,
3,2023-10-09,,C,,
4,2023-10-09,,C,,
5,2023-10-09,C,C,5,5
6,2023-10-09,,A,,
7,2023-10-09,,C,,
8,2023-10-09,,C,8,8
9,2023-10-09,,A,,
10,2023-10-09,,W,,
11,2023-10-09,,W,,
12,2023-10-09,,W,,
1,2023-10-14,,W,,
2,2023-10-14,,C,,
3,2023-10-14,,W,,
4,2023-10-14,,A,,
5,2023-10-14,A,A,5,5
6,2023-10-14,,C,,
7,2023-10-14,,A,,
8,2023-10-14,,W,,
9,2023-10-14,,C,,
10,2023-10-14,,C,,
11,2023-10-14,,C,,
12,2023-10-14,,C,,
1,2023-10-19,,C,,
2,2023-10-19,,W,,
3,2023-10-19,,C,,
4,2023-10-19,,C,,
5,2023-10-19,C,C,5,5
6,2023-10-19,W,W,6,6
7,2023-10-19,,C,,
8,2023-10-19,,C,,
9,2023-10-19,,W,,
10,2023-10-19,A,A,10,10
11,2023-10-19,,A,,
12,2023-10-19,,A,4,4
1,2023-10-24,,A,,
2,2023-10-24,,C,4,11
3,2023-10-24,A,A,3,3
4,2023-10-24,,W,,
5,2023-10-24,W,W,5,5
6,2023-10-24,C,C,6,6
7,2023-10-24,,W,,
8,2023-10-24,,A,,
9,2023-10-24,,C,,
10,2023-10-24,C,C,10,10
11,2023-10-24,C,C,4,2
12,2023-10-24,,C,4,4
1,2023-10-29,,C,,
2,2023-10-29,,A,,
3,2023-10-29,C,C,3,3
4,2023-10-29,,C,,
5,2023-10-29,,C,,
6,2023-10-29,A,A,6,6
7,2023-10-29,,C,,
8,2023-10-29,C,C,8,8
9,2023-10-29,,A,,
10,2023-10-29,W,W,10,10
11,2023-10-29,,W,,
12,2023-10-29,W,W,2,12
1,2023-11-03,,W,,
2,2023-11-03,,C,4,4
3,2023-11-03,W,W,3,3
4,2023-11-03,,A,2,2
5,2023-11-03,,A,,
6,2023-11-03,,C,,
7,2023-11-03,,A,,
8,2023-11-03,W,W,8,8
9,2023-11-03,,C,,
10,2023-11-03,C,C,10,10
11,2023-11-03,,C,,
12,2023-11-03,C,C,2,12
1,2023-11-08,,C,,
2,2023-11-08,,W,,
3,2023-11-08,,C,,
4,2023-11-08,,C,,
5,2023-11-08,,C,,
6,2023-11-08,W,W,6,6
7,2023-11-08,,C,,
8,2023-11-08,C,C,8,8
9,2023-11-08,,W,,
10,2023-11-08,A,A,10,10
11,2023-11-08,,A,4,2
12,2023-11-08,,A,,
1,2023-11-13,,A,,
2,2023-11-13,,C,,
3,2023-11-13,A,A,3,3
4,2023-11-13,,W,,
5,2023-11-13,,W,,
6,2023-11-13,C,C,6,6
7,2023-11-13,W,W,7,7
8,2023-11-13,A,A,8,8
9,2023-11-13,,C,,
10,2023-11-13,C,C,10,10
11,2023-11-13,C,C,4,2
12,2023-11-13,,C,,
1,2023-11-18,,C,,
2,2023-11-18,,A,4,4
3,2023-11-18,C,C,3,3
4,2023-11-18,,C,2,2
5,2023-11-18,,C,,
6,2023-11-18,A,A,6,6
7,2023-11-18,C,C,7,7
8,2023-11-18,,C,,
9,2023-11-18,,A,,
10,2023-11-18,W,W,10,10
11,2023-11-18,,W,,
12,2023-11-18,,W,,
1,2023-11-23,,W,,
2,2023-11-23,,C,4,4
3,2023-11-23,W,W,3,3
4,2023-11-23,,A,2,2
5,2023-11-23,A,A,5,5
6,2023-11-23,C,C,6,6
7,2023-11-23,,A,,
8,2023-11-23,,W,,
9,2023-11-23,,C,,
10,2023-11-23,C,C,10,10
11,2023-11-23,,C,,
12,2023-11-23,,C,,
1,2023-11-28,,C,,
2,2023-11-28,,W,4,4
3,2023-11-28,C,C,3,3
4,2023-11-28,,C,2,2
5,2023-11-28,C,C,5,5
6,2023-11-28,W,W,6,6
7,2023-11-28,C,C,7,7
8,2023-11-28,,C,,
9,2023-11-28,,W,,
10,2023-11-28,A,A,10,10
11,2023-11-28,,A,,
12,2023-11-28,,A,,
